"Prov.letters","cn","BCR","RngAdj","Prov.num","ProvBCR"
"AK","American Kestrel",2,1,"3","3-2"
"AK","American Pipit",2,1,"3","3-2"
"AK","American Robin",2,0.99,"3","3-2"
"AK","American Three-toed Woodpecker",2,1.13,"3","3-2"
"AK","American Tree Sparrow",2,0.95,"3","3-2"
"AK","Arctic Warbler",2,1.05,"3","3-2"
"AK","Bald Eagle",2,1.04,"3","3-2"
"AK","Bank Swallow",2,0.91,"3","3-2"
"AK","Barn Swallow",2,0.96,"3","3-2"
"AK","Belted Kingfisher",2,0.99,"3","3-2"
"AK","Black-backed Woodpecker",2,0.64,"3","3-2"
"AK","Black-billed Magpie",2,0.93,"3","3-2"
"AK","Black-capped Chickadee",2,1.16,"3","3-2"
"AK","Blackpoll Warbler",2,0.68,"3","3-2"
"AK","Bluethroat",2,5,"3","3-2"
"AK","Bohemian Waxwing",2,0.95,"3","3-2"
"AK","Boreal Chickadee",2,1.45,"3","3-2"
"AK","Boreal Owl",2,1,"3","3-2"
"AK","Brown Creeper",2,1,"3","3-2"
"AK","Cliff Swallow",2,1.72,"3","3-2"
"AK","Common Raven",2,0.99,"3","3-2"
"AK","Common Redpoll",2,0.99,"3","3-2"
"AK","Dark-eyed Junco",2,1.14,"3","3-2"
"AK","Downy Woodpecker",2,0.64,"3","3-2"
"AK","Eastern Yellow Wagtail",2,0.82,"3","3-2"
"AK","Fox Sparrow",2,1,"3","3-2"
"AK","Golden Eagle",2,0.9,"3","3-2"
"AK","Golden-crowned Kinglet",2,0.56,"3","3-2"
"AK","Golden-crowned Sparrow",2,0.99,"3","3-2"
"AK","Gray Jay",2,1.5,"3","3-2"
"AK","Gray-cheeked Thrush",2,0.99,"3","3-2"
"AK","Gray-crowned Rosy-Finch",2,1,"3","3-2"
"AK","Gray-headed Chickadee",2,5,"3","3-2"
"AK","Great Gray Owl",2,1,"3","3-2"
"AK","Great Horned Owl",2,1.15,"3","3-2"
"AK","Gyrfalcon",2,0.92,"3","3-2"
"AK","Hairy Woodpecker",2,0.8,"3","3-2"
"AK","Hammond's Flycatcher",2,1,"3","3-2"
"AK","Hermit Thrush",2,0.76,"3","3-2"
"AK","Hoary Redpoll",2,0.86,"3","3-2"
"AK","Horned Lark",2,1,"3","3-2"
"AK","Lapland Longspur",2,0.94,"3","3-2"
"AK","Lincoln's Sparrow",2,1.5,"3","3-2"
"AK","Merlin",2,0.99,"3","3-2"
"AK","Mountain Bluebird",2,1,"3","3-2"
"AK","Northern Flicker",2,1,"3","3-2"
"AK","Northern Goshawk",2,0.89,"3","3-2"
"AK","Northern Harrier",2,0.93,"3","3-2"
"AK","Northern Hawk Owl",2,0.8,"3","3-2"
"AK","Northern Saw-whet Owl",2,1,"3","3-2"
"AK","Northern Shrike",2,0.98,"3","3-2"
"AK","Northern Waterthrush",2,0.91,"3","3-2"
"AK","Northern Wheatear",2,1,"3","3-2"
"AK","Northwestern Crow",2,0.49,"3","3-2"
"AK","Olive-sided Flycatcher",2,0.99,"3","3-2"
"AK","Orange-crowned Warbler",2,0.89,"3","3-2"
"AK","Osprey",2,1.03,"3","3-2"
"AK","Peregrine Falcon",2,0.99,"3","3-2"
"AK","Pine Grosbeak",2,1.24,"3","3-2"
"AK","Pine Siskin",2,0.67,"3","3-2"
"AK","Red-tailed Hawk",2,1,"3","3-2"
"AK","Red-throated Pipit",2,5,"3","3-2"
"AK","Rock Ptarmigan",2,0.94,"3","3-2"
"AK","Rough-legged Hawk",2,0.99,"3","3-2"
"AK","Ruby-crowned Kinglet",2,1.22,"3","3-2"
"AK","Ruffed Grouse",2,1,"3","3-2"
"AK","Rusty Blackbird",2,0.92,"3","3-2"
"AK","Savannah Sparrow",2,1,"3","3-2"
"AK","Say's Phoebe",2,0.78,"3","3-2"
"AK","Sharp-shinned Hawk",2,0.8,"3","3-2"
"AK","Sharp-tailed Grouse",2,1.5,"3","3-2"
"AK","Short-eared Owl",2,1,"3","3-2"
"AK","Snow Bunting",2,0.79,"3","3-2"
"AK","Snowy Owl",2,1.44,"3","3-2"
"AK","Song Sparrow",2,0.85,"3","3-2"
"AK","Spruce Grouse",2,0.81,"3","3-2"
"AK","Swainson's Thrush",2,1.31,"3","3-2"
"AK","Tree Swallow",2,0.95,"3","3-2"
"AK","Varied Thrush",2,1.15,"3","3-2"
"AK","Violet-green Swallow",2,1.5,"3","3-2"
"AK","White Wagtail",2,0.65,"3","3-2"
"AK","White-crowned Sparrow",2,0.92,"3","3-2"
"AK","White-tailed Ptarmigan",2,1,"3","3-2"
"AK","White-winged Crossbill",2,1.5,"3","3-2"
"AK","Willow Ptarmigan",2,1,"3","3-2"
"AK","Wilson's Warbler",2,0.96,"3","3-2"
"AK","Winter Wren",2,1.08,"3","3-2"
"AK","Yellow Warbler",2,0.99,"3","3-2"
"AK","Yellow-rumped Warbler",2,0.99,"3","3-2"
"AK","Alder Flycatcher",3,0.21,"3","3-3"
"AK","American Dipper",3,0.7,"3","3-3"
"AK","American Kestrel",3,0.34,"3","3-3"
"AK","American Pipit",3,0.86,"3","3-3"
"AK","American Robin",3,0.6,"3","3-3"
"AK","American Three-toed Woodpecker",3,0.42,"3","3-3"
"AK","American Tree Sparrow",3,0.72,"3","3-3"
"AK","Arctic Warbler",3,0.93,"3","3-3"
"AK","Bald Eagle",3,0.64,"3","3-3"
"AK","Bank Swallow",3,0.42,"3","3-3"
"AK","Belted Kingfisher",3,0.57,"3","3-3"
"AK","Black-backed Woodpecker",3,0.51,"3","3-3"
"AK","Blackpoll Warbler",3,0.48,"3","3-3"
"AK","Bluethroat",3,3,"3","3-3"
"AK","Bohemian Waxwing",3,1,"3","3-3"
"AK","Boreal Chickadee",3,0.53,"3","3-3"
"AK","Boreal Owl",3,0.27,"3","3-3"
"AK","Common Raven",3,0.96,"3","3-3"
"AK","Common Redpoll",3,1,"3","3-3"
"AK","Dark-eyed Junco",3,0.62,"3","3-3"
"AK","Downy Woodpecker",3,0.36,"3","3-3"
"AK","Eastern Yellow Wagtail",3,3,"3","3-3"
"AK","Fox Sparrow",3,0.93,"3","3-3"
"AK","Golden Eagle",3,1,"3","3-3"
"AK","Golden-crowned Sparrow",3,0.23,"3","3-3"
"AK","Gray Jay",3,0.29,"3","3-3"
"AK","Gray-cheeked Thrush",3,0.65,"3","3-3"
"AK","Gray-crowned Rosy-Finch",3,0.61,"3","3-3"
"AK","Gray-headed Chickadee",3,0.53,"3","3-3"
"AK","Great Gray Owl",3,0.3,"3","3-3"
"AK","Great Horned Owl",3,0.54,"3","3-3"
"AK","Gyrfalcon",3,1.8,"3","3-3"
"AK","Hairy Woodpecker",3,0.37,"3","3-3"
"AK","Hammond's Flycatcher",3,0.34,"3","3-3"
"AK","Hoary Redpoll",3,0.97,"3","3-3"
"AK","Horned Lark",3,1,"3","3-3"
"AK","Lapland Longspur",3,0.99,"3","3-3"
"AK","Merlin",3,0.7,"3","3-3"
"AK","Northern Flicker",3,0.56,"3","3-3"
"AK","Northern Goshawk",3,0.3,"3","3-3"
"AK","Northern Harrier",3,0.76,"3","3-3"
"AK","Northern Hawk Owl",3,0.4,"3","3-3"
"AK","Northern Shrike",3,0.71,"3","3-3"
"AK","Northern Waterthrush",3,0.36,"3","3-3"
"AK","Northern Wheatear",3,0.52,"3","3-3"
"AK","Olive-sided Flycatcher",3,0.73,"3","3-3"
"AK","Orange-crowned Warbler",3,0.48,"3","3-3"
"AK","Osprey",3,0.59,"3","3-3"
"AK","Peregrine Falcon",3,1,"3","3-3"
"AK","Pine Grosbeak",3,0.44,"3","3-3"
"AK","Red-throated Pipit",3,1.5,"3","3-3"
"AK","Rock Ptarmigan",3,0.99,"3","3-3"
"AK","Rough-legged Hawk",3,0.93,"3","3-3"
"AK","Ruby-crowned Kinglet",3,0.49,"3","3-3"
"AK","Ruffed Grouse",3,1,"3","3-3"
"AK","Rusty Blackbird",3,0.58,"3","3-3"
"AK","Savannah Sparrow",3,1,"3","3-3"
"AK","Say's Phoebe",3,0.59,"3","3-3"
"AK","Sharp-shinned Hawk",3,0.4,"3","3-3"
"AK","Sharp-tailed Grouse",3,0.17,"3","3-3"
"AK","Short-eared Owl",3,1,"3","3-3"
"AK","Smith's Longspur",3,0.52,"3","3-3"
"AK","Snow Bunting",3,0.93,"3","3-3"
"AK","Snowy Owl",3,3,"3","3-3"
"AK","Spruce Grouse",3,0.59,"3","3-3"
"AK","Swainson's Hawk",3,0.3,"3","3-3"
"AK","Swainson's Thrush",3,0.37,"3","3-3"
"AK","Tree Swallow",3,0.3,"3","3-3"
"AK","Varied Thrush",3,0.46,"3","3-3"
"AK","Western Wood-Pewee",3,0.14,"3","3-3"
"AK","White Wagtail",3,1,"3","3-3"
"AK","White-crowned Sparrow",3,0.82,"3","3-3"
"AK","Willow Ptarmigan",3,1,"3","3-3"
"AK","Wilson's Warbler",3,0.7,"3","3-3"
"AK","Yellow Warbler",3,0.78,"3","3-3"
"AK","Yellow-rumped Warbler",3,0.62,"3","3-3"
"AK","Pine Grosbeak",4,1,"3","3-4"
"AK","Pine Siskin",4,0.58,"3","3-4"
"AK","Red Crossbill",4,0.54,"3","3-4"
"AK","Red-breasted Nuthatch",4,1,"3","3-4"
"AK","Red-tailed Hawk",4,0.84,"3","3-4"
"AK","Red-throated Pipit",4,1,"3","3-4"
"AK","Red-winged Blackbird",4,0.74,"3","3-4"
"AK","Rock Pigeon",4,0.59,"3","3-4"
"AK","Rock Ptarmigan",4,0.92,"3","3-4"
"AK","Rough-legged Hawk",4,2.15,"3","3-4"
"AK","Ruby-crowned Kinglet",4,0.96,"3","3-4"
"AK","Ruffed Grouse",4,0.91,"3","3-4"
"AK","Rufous Hummingbird",4,1,"3","3-4"
"AK","Rusty Blackbird",4,1.02,"3","3-4"
"AK","Savannah Sparrow",4,1,"3","3-4"
"AK","Say's Phoebe",4,0.98,"3","3-4"
"AK","Sharp-shinned Hawk",4,0.95,"3","3-4"
"AK","Sharp-tailed Grouse",4,0.93,"3","3-4"
"AK","Short-eared Owl",4,1,"3","3-4"
"AK","Smith's Longspur",4,0.65,"3","3-4"
"AK","Snow Bunting",4,1,"3","3-4"
"AK","Snowy Owl",4,1.43,"3","3-4"
"AK","Song Sparrow",4,0.99,"3","3-4"
"AK","Spruce Grouse",4,0.99,"3","3-4"
"AK","Swainson's Hawk",4,0.75,"3","3-4"
"AK","Swainson's Thrush",4,0.97,"3","3-4"
"AK","Tennessee Warbler",4,1,"3","3-4"
"AK","Townsend's Solitaire",4,0.61,"3","3-4"
"AK","Townsend's Warbler",4,0.53,"3","3-4"
"AK","Tree Swallow",4,1,"3","3-4"
"AK","Varied Thrush",4,1,"3","3-4"
"AK","Violet-green Swallow",4,0.88,"3","3-4"
"AK","Western Screech-Owl",4,1,"3","3-4"
"AK","Western Wood-Pewee",4,0.7,"3","3-4"
"AK","White-crowned Sparrow",4,1,"3","3-4"
"AK","White-tailed Ptarmigan",4,0.67,"3","3-4"
"AK","White-winged Crossbill",4,0.91,"3","3-4"
"AK","Willow Ptarmigan",4,1,"3","3-4"
"AK","Wilson's Warbler",4,1,"3","3-4"
"AK","Winter Wren",4,0.63,"3","3-4"
"AK","Yellow Warbler",4,1,"3","3-4"
"AK","Yellow-bellied Sapsucker",4,0.49,"3","3-4"
"AK","Yellow-rumped Warbler",4,0.99,"3","3-4"
"AK","Warbling Vireo",5,0.85,"3","3-5"
"AK","Western Screech-Owl",5,0.97,"3","3-5"
"AK","Western Tanager",5,0.88,"3","3-5"
"AK","Western Wood-Pewee",5,0.91,"3","3-5"
"AK","White-crowned Sparrow",5,0.89,"3","3-5"
"AK","White-tailed Ptarmigan",5,0.98,"3","3-5"
"AK","White-winged Crossbill",5,1.05,"3","3-5"
"AK","Willow Flycatcher",5,0.48,"3","3-5"
"AK","Willow Ptarmigan",5,1,"3","3-5"
"AK","Wilson's Warbler",5,1,"3","3-5"
"AK","Winter Wren",5,1,"3","3-5"
"AK","Yellow Warbler",5,1,"3","3-5"
"AK","Yellow-rumped Warbler",5,0.96,"3","3-5"
"AK","Great Gray Owl",4,0.91,"3","3-4"
"AK","Great Horned Owl",4,0.95,"3","3-4"
"AK","Alder Flycatcher",4,0.88,"3","3-4"
"AK","American Dipper",4,0.98,"3","3-4"
"AK","American Kestrel",4,0.96,"3","3-4"
"AK","American Pipit",4,1,"3","3-4"
"AK","American Robin",4,1,"3","3-4"
"AK","American Three-toed Woodpecker",4,0.98,"3","3-4"
"AK","American Tree Sparrow",4,1.02,"3","3-4"
"AK","Arctic Warbler",4,1.1,"3","3-4"
"AK","Bald Eagle",4,1,"3","3-4"
"AK","Bank Swallow",4,0.99,"3","3-4"
"AK","Barn Swallow",4,0.88,"3","3-4"
"AK","Belted Kingfisher",4,1,"3","3-4"
"AK","Black-backed Woodpecker",4,0.97,"3","3-4"
"AK","Black-billed Magpie",4,0.76,"3","3-4"
"AK","Black-capped Chickadee",4,1.01,"3","3-4"
"AK","Blackpoll Warbler",4,0.99,"3","3-4"
"AK","Bluethroat",4,1,"3","3-4"
"AK","Bohemian Waxwing",4,0.99,"3","3-4"
"AK","Boreal Chickadee",4,1,"3","3-4"
"AK","Boreal Owl",4,0.87,"3","3-4"
"AK","Brown Creeper",4,0.6,"3","3-4"
"AK","Chestnut-backed Chickadee",4,0.27,"3","3-4"
"AK","Chipping Sparrow",4,0.62,"3","3-4"
"AK","Cliff Swallow",4,0.9,"3","3-4"
"AK","Common Raven",4,1,"3","3-4"
"AK","Common Redpoll",4,1,"3","3-4"
"AK","Dark-eyed Junco",4,1,"3","3-4"
"AK","Downy Woodpecker",4,0.96,"3","3-4"
"AK","Eastern Yellow Wagtail",4,1,"3","3-4"
"AK","European Starling",4,0.58,"3","3-4"
"AK","Fox Sparrow",4,1,"3","3-4"
"AK","Golden Eagle",4,1,"3","3-4"
"AK","Golden-crowned Kinglet",4,0.85,"3","3-4"
"AK","Golden-crowned Sparrow",4,1.14,"3","3-4"
"AK","Gray Jay",4,0.97,"3","3-4"
"AK","Gray-cheeked Thrush",4,1,"3","3-4"
"AK","Gray-crowned Rosy-Finch",4,1,"3","3-4"
"AK","Gray-headed Chickadee",4,0.82,"3","3-4"
"AK","Red-breasted Nuthatch",5,1,"3","3-5"
"AK","Red-breasted Sapsucker",5,0.96,"3","3-5"
"AK","Gyrfalcon",4,0.86,"3","3-4"
"AK","Hairy Woodpecker",4,0.89,"3","3-4"
"AK","Hammond's Flycatcher",4,0.81,"3","3-4"
"AK","Hermit Thrush",4,0.84,"3","3-4"
"AK","Hoary Redpoll",4,3.74,"3","3-4"
"AK","Horned Lark",4,1,"3","3-4"
"AK","Lapland Longspur",4,1.15,"3","3-4"
"AK","Lincoln's Sparrow",4,0.87,"3","3-4"
"AK","Merlin",4,1,"3","3-4"
"AK","Mountain Bluebird",4,0.75,"3","3-4"
"AK","Northern Flicker",4,0.94,"3","3-4"
"AK","Northern Goshawk",4,0.97,"3","3-4"
"AK","Northern Harrier",4,1,"3","3-4"
"AK","Northern Hawk Owl",4,0.99,"3","3-4"
"AK","Northern Saw-whet Owl",4,0.5,"3","3-4"
"AK","Northern Shrike",4,1,"3","3-4"
"AK","Northern Waterthrush",4,0.99,"3","3-4"
"AK","Northern Wheatear",4,1,"3","3-4"
"AK","Northwestern Crow",4,0.44,"3","3-4"
"AK","Olive-sided Flycatcher",4,1,"3","3-4"
"AK","Orange-crowned Warbler",4,1,"3","3-4"
"AK","Osprey",4,0.98,"3","3-4"
"AK","Peregrine Falcon",4,1,"3","3-4"
"AK","Northern Rough-winged Swallow",5,0.48,"3","3-5"
"AK","Northern Saw-whet Owl",5,1.09,"3","3-5"
"AK","Northern Shrike",5,0.86,"3","3-5"
"AK","Northern Waterthrush",5,0.92,"3","3-5"
"AK","Northern Wheatear",5,1.28,"3","3-5"
"AK","Northwestern Crow",5,1,"3","3-5"
"AK","Olive-sided Flycatcher",5,1,"3","3-5"
"AK","Orange-crowned Warbler",5,1.04,"3","3-5"
"AK","Osprey",5,0.94,"3","3-5"
"AK","Pacific-slope Flycatcher",5,0.85,"3","3-5"
"AK","Peregrine Falcon",5,1,"3","3-5"
"AK","Pine Grosbeak",5,1,"3","3-5"
"AK","Pine Siskin",5,1,"3","3-5"
"AK","Purple Finch",5,0.82,"3","3-5"
"AK","Red Crossbill",5,1,"3","3-5"
"AK","Fox Sparrow",5,1,"3","3-5"
"AK","Golden Eagle",5,0.96,"3","3-5"
"AK","Red-tailed Hawk",5,1,"3","3-5"
"AK","Red-winged Blackbird",5,0.96,"3","3-5"
"AK","Rock Pigeon",5,1,"3","3-5"
"AK","Rock Ptarmigan",5,1.05,"3","3-5"
"AK","Ruby-crowned Kinglet",5,1,"3","3-5"
"AK","Ruffed Grouse",5,0.8,"3","3-5"
"AK","Rufous Hummingbird",5,1.1,"3","3-5"
"AK","Rusty Blackbird",5,0.99,"3","3-5"
"AK","Savannah Sparrow",5,1.09,"3","3-5"
"AK","Say's Phoebe",5,1.22,"3","3-5"
"AK","Sharp-shinned Hawk",5,1,"3","3-5"
"AK","Sharp-tailed Grouse",5,0.97,"3","3-5"
"AK","Short-eared Owl",5,1,"3","3-5"
"AK","Smith's Longspur",5,1.31,"3","3-5"
"AK","Snow Bunting",5,1.06,"3","3-5"
"AK","Song Sparrow",5,1,"3","3-5"
"AK","Sooty Grouse",5,0.8,"3","3-5"
"AK","Spruce Grouse",5,0.92,"3","3-5"
"AK","Steller's Jay",5,0.67,"3","3-5"
"AK","Swainson's Thrush",5,0.77,"3","3-5"
"AK","Tennessee Warbler",5,1.12,"3","3-5"
"AK","Townsend's Solitaire",5,0.99,"3","3-5"
"AK","Townsend's Warbler",5,1,"3","3-5"
"AK","Tree Swallow",5,1.04,"3","3-5"
"AK","Varied Thrush",5,1,"3","3-5"
"AK","Vaux's Swift",5,0.48,"3","3-5"
"AK","Violet-green Swallow",5,1.08,"3","3-5"
"AK","Chestnut-backed Chickadee",5,1.04,"3","3-5"
"AK","Chipping Sparrow",5,0.95,"3","3-5"
"AK","Cliff Swallow",5,1.05,"3","3-5"
"AK","Common Nighthawk",5,0.71,"3","3-5"
"AK","Common Raven",5,1,"3","3-5"
"AK","Common Redpoll",5,1.18,"3","3-5"
"AK","Common Yellowthroat",5,0.89,"3","3-5"
"AK","Dark-eyed Junco",5,1,"3","3-5"
"AK","Downy Woodpecker",5,1,"3","3-5"
"AK","Dusky Flycatcher",5,0.77,"3","3-5"
"AK","European Starling",5,0.91,"3","3-5"
"AK","American Three-toed Woodpecker",5,1,"3","3-5"
